,Fold,eta,alpha,Error
225,7,0.30000000000000004,0.8,0.18648660024354077
226,7,0.30000000000000004,0.85,1.6166344475905288
227,7,0.30000000000000004,0.9,1.4822459695931969
228,7,0.4,0.0,0.1220802271001446
229,7,0.4,0.7,0.11359982479054452
230,7,0.4,0.75,1.1600330707372124
231,7,0.4,0.8,0.06087914781227401
232,7,0.4,0.85,1.2331897847097728
233,7,0.4,0.9,1.540532980679027
234,7,0.5,0.0,0.023932799766877327
235,7,0.5,0.7,0.043048126634342335
236,7,0.5,0.75,0.1823315257722842
237,7,0.5,0.8,0.39908807586008965
238,7,0.5,0.85,1.6270528483127409
239,7,0.5,0.9,0.09702814046844807
240,8,0.1,0.0,1.6029613366359414
241,8,0.1,0.7,1.3532601486650426
242,8,0.1,0.75,1.298560241383845
243,8,0.1,0.8,1.2571949742649848
244,8,0.1,0.85,1.2667865485630307
245,8,0.1,0.9,1.267500647359923
246,8,0.2,0.0,1.135993124049145
247,8,0.2,0.7,0.8316830061164149
248,8,0.2,0.75,1.3805006564139486
249,8,0.2,0.8,0.5807445605523974
250,8,0.2,0.85,1.1318633988551785
251,8,0.2,0.9,0.9507371919189425
252,8,0.30000000000000004,0.0,2.0009127395156407
253,8,0.30000000000000004,0.7,1.6302517522017843
254,8,0.30000000000000004,0.75,0.27573315376852875
255,8,0.30000000000000004,0.8,0.47508909434625485
256,8,0.30000000000000004,0.85,1.196851667078228
257,8,0.30000000000000004,0.9,0.8254578220756374
258,8,0.4,0.0,1.4848886135656545
259,8,0.4,0.7,2.137075027288379
260,8,0.4,0.75,0.560161466817511
261,8,0.4,0.8,1.432952060977845
262,8,0.4,0.85,0.19522492102098765
263,8,0.4,0.9,1.2084335798150674
264,8,0.5,0.0,0.05139613813014563
265,8,0.5,0.7,1.2018112893386024
266,8,0.5,0.75,1.334503315713425
267,8,0.5,0.8,1.275502730581318
268,8,0.5,0.85,1.3893065656163073
269,8,0.5,0.9,0.1420493503483974
270,9,0.1,0.0,0.7186584290656616
271,9,0.1,0.7,1.0714187608762278
272,9,0.1,0.75,0.9608650947746649
273,9,0.1,0.8,1.1001149476877408
274,9,0.1,0.85,1.1098722955870393
275,9,0.1,0.9,1.076718213095746
276,9,0.2,0.0,1.0948797380531914
277,9,0.2,0.7,0.9837065638630255
278,9,0.2,0.75,0.9943255984559752
279,9,0.2,0.8,0.9803471513484407
280,9,0.2,0.85,1.0236685482004868
281,9,0.2,0.9,1.1969406069101416
282,9,0.30000000000000004,0.0,1.1231128450960985
283,9,0.30000000000000004,0.7,0.9890305826901772
284,9,0.30000000000000004,0.75,1.005531022416244
