,eta,alpha,vector,Error
0,0.3,0.9,"[1, 1]",1.4315599283655018
1,0.1,0.9,"[1, 1]",1.3169387306111773
2,0.1,0.8,"[2, 2]",1.5026441373132349
3,0.2,0.0,"[4, 4]",1.4290539927055006
4,0.1,0.8,"[5, 5]",1.4794288766680794
5,0.1,0.9,"[1, 1]",1.3641272950689627
6,0.1,0.0,"[2, 2]",1.754006304364164
7,0.1,0.9,"[1, 1]",1.2588692067083584
8,0.3,0.9,"[2, 2]",1.3428239738651344
9,0.3,0.9,"[1, 1]",1.3512320563939106
