,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
77,8,0.2,0.9,10.28119187,[1],1.371433203,"[1, 4]",1.505433911
78,8,0.3,0,12.71676004,[1],1.697312869,"[1, 2]",0.950421325
79,8,0.3,0.8,17.66982399,[2],1.507276454,"[2, 4]",2.162990551
80,8,0.3,0.9,14.07388831,[2],0.807506045,"[2, 2]",0.807295467
81,9,0.1,0,0.001050546,[1],1.476452054,"[1, 1]",1.537321349
82,9,0.1,0.8,0.00269542,[1],1.440966909,"[1, 4]",1.553885451
83,9,0.1,0.9,0.001813472,[3],1.728190573,"[3, 3]",1.503684329
84,9,0.2,0,9.982411217,[2],1.960082368,"[2, 2]",1.675191438
85,9,0.2,0.8,0.00073441,[3],1.817356166,"[3, 2]",1.71682135
86,9,0.2,0.9,5.781808328,[2],1.645209949,"[2, 2]",1.519454127
87,9,0.3,0,12.14193788,[2],2.023011337,"[2, 3]",1.807490261
88,9,0.3,0.8,11.8411821,[2],1.50576206,"[2, 2]",1.715225475
89,9,0.3,0.9,12.55869661,[1],1.639477481,"[1, 1]",1.44925729
