,eta,alpha,vector,Error
0,0.1,0.0,[],5.271300207094571
1,0.1,0.8,[],3.780760343476561
2,0.2,0.8,[],8.89429602040447
3,0.3,0.8,[],14.424287168414455
4,0.3,0.8,[],17.50340470591762
5,0.2,0.0,[],8.934317302486784
6,0.3,0.0,[],10.953808079874568
7,0.1,0.8,[],5.754310039473062
8,0.2,0.8,[],9.325522699057629
9,0.2,0.8,[],4.40739611735077
