,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
44,4,0.3,0.9,2.124443840825699e+39,[1],4780.204206738435,"[1, 2]",4677.814297975665
45,5,0.1,0.0,1.138646855503101e+22,[1],3419.225905843935,"[1, 2]",3461.0184738947573
46,5,0.1,0.8,362858894305404.4,[1],3472.2424008760463,"[1, 1]",3427.5900688324946
47,5,0.1,0.9,276119301751.9945,[2],3472.6403035272792,"[2, 1]",3435.774972148215
48,5,0.2,0.0,3.278569634979961e+84,[1],3425.8282791501942,"[1, 1]",3410.0495182788327
49,5,0.2,0.8,1.6165398596497308e+38,[1],3445.079557414944,"[1, 2]",3533.13070513434
50,5,0.2,0.9,9.862839439496096e+29,[1],3440.929047645145,"[1, 2]",3568.348509101776
51,5,0.3,0.0,6.551798131795872e+151,[1],3427.9892371564474,"[1, 1]",3814.593917740828
52,5,0.3,0.8,5.071685834779199e+57,[1],3459.501741657412,"[1, 1]",3491.303016390554
53,5,0.3,0.9,2.0568912113125164e+40,[1],3681.2246970107935,"[1, 1]",3628.6109274567807
54,6,0.1,0.0,9.65952846832476e+22,[1],2072.83056938786,"[1, 1]",2025.5024042793304
55,6,0.1,0.8,3344712014397792.0,[2],2110.0109570564964,"[2, 1]",2071.771919434481
56,6,0.1,0.9,8343380385670.443,[2],2132.6291801124444,"[2, 1]",2064.095889133197
57,6,0.2,0.0,2.2378319569924333e+93,[2],2089.505883141809,"[2, 1]",2048.114887182982
58,6,0.2,0.8,2.53927788536428e+40,[2],2327.392123043528,"[2, 1]",2067.201363568759
59,6,0.2,0.9,7.145460046771941e+25,[1],2075.099174473853,"[1, 1]",2054.04935496804
60,6,0.3,0.0,1.6200889539630094e+167,[1],2111.7733327388446,"[1, 1]",2254.7630815614907
61,6,0.3,0.8,1.5649671554895057e+58,[1],2083.6754539745048,"[1, 2]",2490.5870276420465
62,6,0.3,0.9,8.864593294714123e+41,[1],2076.241552860204,"[1, 2]",2054.406605976956
63,7,0.1,0.0,7.34857219969209e+21,[1],4656.794193834546,"[1, 1]",4518.712581028036
64,7,0.1,0.8,4.9983190437528776e+16,[1],4672.136614222525,"[1, 1]",4611.462457749295
65,7,0.1,0.9,15706605620737.182,[1],4574.483420595179,"[1, 1]",4590.241652187385
66,7,0.2,0.0,5.963952012982092e+79,[1],4624.699049110664,"[1, 2]",4617.5620366811145
67,7,0.2,0.8,2.5403215559425465e+40,[1],4624.7529943428935,"[1, 1]",4598.701691353918
68,7,0.2,0.9,3.1694170588155054e+25,[1],4805.502000616038,"[1, 1]",4724.731655224557
69,7,0.3,0.0,8.515780939436589e+156,[1],4661.403809981283,"[1, 2]",4837.542502446921
70,7,0.3,0.8,5.5359259323744204e+54,[1],4711.476925838316,"[1, 3]",4868.332619653471
71,7,0.3,0.9,4.307614236190262e+38,[1],4663.787239589276,"[1, 3]",4855.885683217794
72,8,0.1,0.0,5.822314462940805e+23,[1],4619.319786506329,"[1, 1]",4505.234399458126
73,8,0.1,0.8,1.4760603963663892e+18,[1],4573.959229157627,"[1, 1]",4586.199382291769
74,8,0.1,0.9,406896767969635.75,[1],4555.1191752716795,"[1, 1]",4551.684548970957
75,8,0.2,0.0,1.8262738667807036e+82,[1],4696.86771752155,"[1, 2]",4562.582765880571
76,8,0.2,0.8,6.0189319480562255e+34,[1],4682.334072081355,"[1, 3]",4758.343019361839
77,8,0.2,0.9,2.11765683471437e+26,[1],4583.72536864632,"[1, 1]",4574.274279508699
78,8,0.3,0.0,3.6301252232284445e+148,[1],4629.993200448234,"[1, 2]",4813.298744031152
79,8,0.3,0.8,4.031340623828985e+57,[1],4811.802193529651,"[1, 1]",4618.514465853787
80,8,0.3,0.9,2.359910745281891e+39,[1],4604.76691344189,"[1, 1]",4614.628968586224
81,9,0.1,0.0,7.293794484633739e+20,[1],4587.1684593339005,"[1, 2]",4609.276425418597
82,9,0.1,0.8,90756473291165.7,[1],4599.3284575131365,"[1, 1]",4580.791899914784
83,9,0.1,0.9,25369124987.147587,[1],4672.674568147428,"[1, 1]",4602.2891067623395
84,9,0.2,0.0,1.6807420234172574e+80,[2],4837.213600257661,"[2, 2]",4664.2814501143675
85,9,0.2,0.8,8.554972543600016e+35,[2],4712.467029222135,"[2, 2]",5349.1901727583945
86,9,0.2,0.9,1.7740698679774296e+25,[1],4568.2127574121805,"[1, 1]",4573.915329162402
87,9,0.3,0.0,8.021347056430473e+153,[1],4584.047924317499,"[1, 2]",5531.521503297933
88,9,0.3,0.8,1.857455660276942e+53,[1],4761.131764109662,"[1, 2]",4704.900119482452
89,9,0.3,0.9,5.2102551611047394e+35,[1],4876.445531795642,"[1, 1]",4591.103586211
