,eta,alpha,vector,Error
0,0.1,0.9,"[4, 4]",7.1729129552352955
1,0.1,0.8,"[4, 4]",7.614534603605813
2,0.1,0.0,"[4, 4]",8.47275172870309
3,0.1,0.9,"[5, 5]",9.46094906154876
4,0.1,0.8,"[7, 7]",8.178694005463674
5,0.1,0.8,"[3, 3]",8.344942506832943
6,0.1,0.8,"[6, 6]",8.236542810792674
7,0.1,0.8,"[3, 3]",7.585093280878756
8,0.1,0.0,"[5, 5]",9.552204677183534
9,0.1,0.9,"[5, 5]",7.531252319024134
