,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
75,8,0.2,0,2.29E+45,[3],25675.89778,"[3, 2]",24619.29397
76,8,0.2,0.8,1.16E+26,[2],28300.53503,"[2, 2]",23712.10999
77,8,0.2,0.9,7.01E+19,[3],19893.04081,"[3, 1]",18500.80724
78,8,0.3,0,3.01E+62,[3],18726.11931,"[3, 1]",22765.10493
79,8,0.3,0.8,1.69E+34,[2],18716.67448,"[2, 1]",13469.60757
80,8,0.3,0.9,2.27E+26,[3],15313.51378,"[3, 1]",24493.22106
81,9,0.1,0,7.41E+22,[1],25669.77571,"[1, 1]",27661.78389
82,9,0.1,0.8,6.7044E+15,[2],19656.08583,"[2, 1]",22294.22019
83,9,0.1,0.9,2.93196E+12,[2],20103.49936,"[2, 2]",35069.98622
84,9,0.2,0,3.26E+47,[2],22445.52708,"[2, 1]",31770.6911
85,9,0.2,0.8,6.64E+23,[3],19948.80994,"[3, 4]",39524.94826
86,9,0.2,0.9,3.70E+20,[2],19471.62959,"[2, 2]",19022.26373
87,9,0.3,0,2.06E+74,[1],35134.99751,"[1, 1]",26542.8519
88,9,0.3,0.8,2.72E+35,[3],17040.17633,"[3, 1]",30065.33549
89,9,0.3,0.9,3.25E+25,[2],21132.9039,"[2, 1]",28901.95255
