,eta,alpha,vector,Error
<<<<<<< HEAD
0,0.1,0.9,[],48586.1531913662
1,0.1,0.9,[],62051.03978911461
2,0.1,0.9,[],95320.21332827711
3,0.1,0.9,[],51214.63311559952
4,0.1,0.9,[],45355.55768925099
5,0.1,0.9,[],39553.51534338635
6,0.1,0.9,[],332939.9445575812
7,0.1,0.9,[],225346.21470687244
8,0.1,0.9,[],69457.14605886681
9,0.1,0.9,[],43444.7213422184
=======
0,0,0,[],19172.96356868086
1,0,0,[],19298.068282685774
2,0,0,[],21265.12845689849
3,0,0,[],22974.584337621545
4,0,0,[],23587.38605864818
5,0,0,[],33026.152977578444
6,0,0,[],53782.235626688096
7,0,0,[],74974.2499118676
8,0,0,[],77119.4956283889
9,0,0,[],17237.70768451604
>>>>>>> f3c8d26fc84ffa5854ae51ef19c18a9340b82571
