,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
63,7,0.1,0.0,8.19669746025836e+22,[1],16866.647910572818,"[1, 1]",24447.25387337334
64,7,0.1,0.8,2.398615202383885e+16,[1],25223.50211108468,"[1, 1]",19528.336809495693
65,7,0.1,0.9,55443506812736.94,[1],15523.171219581833,"[1, 2]",19992.0783482511
66,7,0.2,0.0,4.357676512474799e+42,[1],17473.530396457776,"[1, 3]",22569.36396414437
67,7,0.2,0.8,3.252632069170618e+27,[2],16429.73852519781,"[2, 1]",18761.0046754892
68,7,0.2,0.9,4.568870916494268e+20,[1],18484.828094105625,"[1, 1]",23289.3434344248
69,7,0.3,0.0,2.72456050510932e+67,[2],24931.609773860542,"[2, 1]",23581.17261365007
70,7,0.3,0.8,1.906814153170484e+36,[3],18701.18634809719,"[3, 1]",17997.964914168493
71,7,0.3,0.9,1.5819683467205412e+26,[3],27291.06634877066,"[3, 3]",23002.618116849448
72,8,0.1,0.0,3.989797445563216e+19,[2],21438.77037712472,"[2, 2]",20455.02381625601
73,8,0.1,0.8,7274893816454773.0,[2],17799.003626871196,"[2, 1]",18790.63566540159
74,8,0.1,0.9,390527972353.4354,[4],23089.90829292579,"[4, 1]",21120.24450813348
75,8,0.2,0.0,2.286543441050346e+45,[3],25675.897776417158,"[3, 2]",24619.293967405116
76,8,0.2,0.8,1.1579290561969472e+26,[2],28300.535028202245,"[2, 2]",23712.109992427642
77,8,0.2,0.9,7.01301462760532e+19,[3],19893.04080833645,"[3, 1]",18500.807239875387
78,8,0.3,0.0,3.011783847796162e+62,[3],18726.11931042729,"[3, 1]",22765.104926196556
79,8,0.3,0.8,1.6864907960745687e+34,[2],18716.67448387775,"[2, 1]",13469.607573180603
80,8,0.3,0.9,2.271559567519709e+26,[3],15313.513782608037,"[3, 1]",24493.221056881426
81,9,0.1,0.0,7.412491258782896e+22,[1],25669.775712010738,"[1, 1]",27661.783885239736
82,9,0.1,0.8,6704397286229179.0,[2],19656.085826036568,"[2, 1]",22294.220193714526
83,9,0.1,0.9,2931960614447.0454,[2],20103.499355030923,"[2, 2]",35069.98621806906
84,9,0.2,0.0,3.259847232465715e+47,[2],22445.527080444685,"[2, 1]",31770.691097195417
85,9,0.2,0.8,6.644127274635831e+23,[3],19948.80993522007,"[3, 4]",39524.94825617964
86,9,0.2,0.9,3.697829143266922e+20,[2],19471.62958792911,"[2, 2]",19022.263726211648
87,9,0.3,0.0,2.0597429285690857e+74,[1],35134.99751351419,"[1, 1]",26542.851899964855
88,9,0.3,0.8,2.720335463446262e+35,[3],17040.176334732263,"[3, 1]",30065.335488171717
89,9,0.3,0.9,3.2533340097345073e+25,[2],21132.903900401074,"[2, 1]",28901.952549251033
