,eta,alpha,vector,Error
0,0.3,0.9,[],0.003288676043473299
1,0.2,0.9,[],3.379399373040924e-08
2,0.3,0.0,[],0.002678646934479203
3,0.2,0.0,[],0.0012708677570483315
4,0.2,0.0,[],0.001277039109028303
5,0.3,0.9,[],0.0017500005881536812
6,0.3,0.9,[],0.0008514205054865708
7,0.3,0.9,[],0.0002676297855963159
8,0.2,0.8,[],0.0051233529599387755
9,0.3,0.8,[],0.006756407433383349
