,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0,0.007274922,[4],0.00471799,"[4, 2]",0.06098281
1,0,0.1,0.8,3.49E-06,[2],0.044995621,"[2, 2]",0.046730925
2,0,0.1,0.9,0.012002637,[1],0.696712999,"[1, 2]",0.022688258
3,0,0.2,0,0.006811552,[2],0.004697638,"[2, 3]",0.006358461
4,0,0.2,0.8,0.000102387,[1],0.071853075,"[1, 2]",0.048156566
5,0,0.2,0.9,9.89E-05,[2],0.048010062,"[2, 2]",0.016811784
6,0,0.3,0,0.001794569,[3],0.006298476,"[3, 4]",0.011886201
7,0,0.3,0.8,0.003285878,[3],0.010630272,"[3, 2]",0.005626071
8,0,0.3,0.9,3.64E-07,[5],0.003636115,"[5, 4]",0.005365684
9,1,0.1,0,0.010126221,[1],0.694641019,"[1, 3]",0.007295548
10,1,0.1,0.8,0.000861018,[3],0.701377754,"[3, 3]",0.057816999
11,1,0.1,0.9,0.00574644,[4],0.006101935,"[4, 3]",0.01376526
12,1,0.2,0,4.30E-05,[2],0.004129927,"[2, 3]",0.00819731
13,1,0.2,0.8,0.001754382,[3],0.015041373,"[3, 3]",0.024923675
14,1,0.2,0.9,2.14E-08,[2],0.005817733,"[2, 3]",0.005294027
15,1,0.3,0,0.002092735,[2],0.087348297,"[2, 5]",0.005180268
16,1,0.3,0.8,1.61E-06,[5],0.005693043,"[5, 2]",0.00269906
17,1,0.3,0.9,0.000530346,[3],0.005604737,"[3, 2]",0.001787475
18,2,0.1,0,4.01E-06,[3],0.006176339,"[3, 3]",0.036762286
19,2,0.1,0.8,2.37E-07,[3],0.00410618,"[3, 2]",0.072683016
20,2,0.1,0.9,4.17E-06,[3],0.057032861,"[3, 3]",0.016213617
21,2,0.2,0,1.47E-06,[3],0.005852623,"[3, 4]",0.028989646
22,2,0.2,0.8,2.47E-06,[1],0.08082947,"[1, 2]",0.017149901
23,2,0.2,0.9,3.33E-06,[5],0.008720534,"[5, 3]",0.036053683
24,2,0.3,0,8.27E-11,[3],0.006310644,"[3, 3]",0.023240633
25,2,0.3,0.8,1.34E-05,[3],0.004573066,"[3, 2]",0.02236416
26,2,0.3,0.9,0.001652436,[3],0.004923572,"[3, 3]",0.008362787
27,3,0.1,0,0.004791317,[2],0.699461075,"[2, 3]",0.017244477
28,3,0.1,0.8,3.73E-05,[4],0.0048249,"[4, 2]",0.026070529
29,3,0.1,0.9,0.006314811,[3],0.005072797,"[3, 2]",0.008754206
30,3,0.2,0,4.75E-07,[2],0.057725154,"[2, 1]",0.007881528
31,3,0.2,0.8,9.46E-07,[2],0.011364152,"[2, 4]",0.003804022
32,3,0.2,0.9,0.003352495,[2],0.695544888,"[2, 4]",0.022391219
33,3,0.3,0,0.000742847,[4],0.008731977,"[4, 2]",0.013068416
34,3,0.3,0.8,0.001078062,[6],0.003011872,"[6, 2]",0.005103542
35,3,0.3,0.9,0.000120407,[4],0.00753514,"[4, 3]",0.016692123
36,4,0.1,0,4.45E-05,[4],0.018693713,"[4, 2]",0.038588377
37,4,0.1,0.8,0.000827611,[3],0.015548622,"[3, 2]",0.027089855
38,4,0.1,0.9,0.002206511,[3],0.072920249,"[3, 1]",0.007972312
