,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
54,6,0.1,0.0,0.0001580574863426,[4],0.0139052089970668,"[4, 3]",0.019521571507397
55,6,0.1,0.8,0.00111240536033,[3],0.005443886840356,"[3, 3]",0.0133016616881329
56,6,0.1,0.9,0.0033556819001828,[1],0.0593348190328926,"[1, 2]",0.0626525259122984
57,6,0.2,0.0,9.754780368904863e-06,[3],0.0097866738849209,"[3, 3]",0.0016861015519163
58,6,0.2,0.8,4.825687127153463e-06,[2],0.0052479863557723,"[2, 4]",0.0167346408583306
59,6,0.2,0.9,4.233591195415899e-06,[3],0.0167194117751835,"[3, 2]",0.0067590992938312
60,6,0.3,0.0,6.858001879510741e-08,[2],0.032104731063125,"[2, 2]",0.0079214655191639
61,6,0.3,0.8,6.252979385489989e-08,[2],0.0049263217708671,"[2, 2]",0.0124358292892135
62,6,0.3,0.9,4.679781394212794e-08,[5],0.0047419699737045,"[5, 4]",0.0120004631896555
63,7,0.1,0.0,0.0031478758949342,[1],0.6988949725403593,"[1, 3]",0.0338851861835002
64,7,0.1,0.8,0.0017157357488404,[2],0.1432314331251123,"[2, 4]",0.0106860077512142
65,7,0.1,0.9,0.0065718536140078,[3],0.0069117231130738,"[3, 4]",0.0069437711020938
66,7,0.2,0.0,0.0003693087099698,[2],0.0136685529249718,"[2, 2]",0.0238347870796482
67,7,0.2,0.8,0.0003382992546141,[4],0.0046317719781142,"[4, 2]",0.0133093049845754
68,7,0.2,0.9,0.0002116440414462,[3],0.0066936151763927,"[3, 4]",0.0026264903803233
69,7,0.3,0.0,3.4914297962761863e-05,[3],0.016827151768866,"[3, 3]",0.0046300809201999
70,7,0.3,0.8,0.0001619036067185,[3],0.0065192886138566,"[3, 3]",0.0138740131063604
71,7,0.3,0.9,1.6501529300012776e-06,[2],0.6957703641378067,"[2, 3]",0.0009128343545547
72,8,0.1,0.0,0.0069968177565498,[4],0.01230450256466,"[4, 2]",0.0044619799906565
73,8,0.1,0.8,0.027301760861812,[4],0.0032233033968654,"[4, 2]",0.0169051535079461
74,8,0.1,0.9,0.0282654747214301,[3],0.0085225412084878,"[3, 2]",0.0627934782963801
75,8,0.2,0.0,3.384313138161769e-05,[3],0.0046971950356854,"[3, 5]",0.0135384354575236
76,8,0.2,0.8,1.4091612529136444e-05,[2],0.0809389181002826,"[2, 2]",0.0195076294813152
77,8,0.2,0.9,0.0007421431394062,[5],0.008974846790694,"[5, 2]",0.0190094917953563
78,8,0.3,0.0,0.0058433669112829,[2],0.00494524059765,"[2, 7]",0.0291059110699261
