,eta,alpha,vector,Error
0,0,0,"[3, 3]",1.8421331331433617
1,0,0,"[2, 2]",2.1392966803142976
2,0,0,"[3, 3]",2.2131677461864507
3,0,0,"[3, 3]",1.7425088194140197
4,0,0,"[4, 4]",1.667465315918172
5,0,0,"[2, 2]",1.562298341229229
6,0,0,"[5, 5]",1.6926540166275343
7,0,0,"[2, 2]",1.5355518676945015
8,0,0,"[6, 6]",1.1967774079336195
9,0,0,"[3, 3]",1.3454253891243066
