,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
78,8,0.3,0,0.315230912,[3],0.227226015,"[3, 2]",1.15255284
79,8,0.3,0.8,0.010491219,[5],0.043363128,"[5, 5]",0.543468371
80,8,0.3,0.9,0.044543114,[6],0.167695688,"[6, 3]",0.159334691
81,9,0.1,0,0.263055242,[6],0.448211069,"[6, 3]",0.630475538
82,9,0.1,0.8,0.266099301,[2],1.248259324,"[2, 2]",0.846021192
83,9,0.1,0.9,0.32569768,[3],0.53028117,"[3, 2]",0.874307168
84,9,0.2,0,0.211805532,[2],0.263057455,"[2, 3]",0.509241723
85,9,0.2,0.8,0.000951842,[2],0.928302153,"[2, 1]",0.767540099
86,9,0.2,0.9,0.19704236,[1],0.332061832,"[1, 2]",0.868829424
87,9,0.3,0,0.045857195,[3],0.301981114,"[3, 1]",0.508270766
88,9,0.3,0.8,0.099550948,[3],0.280558965,"[3, 2]",0.781106436
89,9,0.3,0.9,0.116713206,[3],0.311681083,"[3, 1]",0.593552532
