,Fold,eta,alpha,Error_0_Layers,1_Layer,Error_1_Layer,2_Layers,Error_2_Layers
37,4,0.1,0.8,0.0148225958554715,[1],0.8880902399935997,"[1, 1]",1.3751183320534195
38,4,0.1,0.9,0.0187376626910765,[2],1.607335665015472,"[2, 1]",1.192756392269246
39,4,0.2,0.0,0.0023069491900916,[5],0.1469044783133986,"[5, 2]",0.9816437608497708
40,4,0.2,0.8,0.0040838149583149,[4],0.3282837492543414,"[4, 3]",0.993987824576434
41,4,0.2,0.9,0.0060394601568455,[3],0.1422554781104829,"[3, 1]",0.9336839204325358
42,4,0.3,0.0,3.9431265337768354e-05,[2],0.3487668587245339,"[2, 2]",1.0348638843475042
43,4,0.3,0.8,0.001804743243708,[2],0.663415328876893,"[2, 2]",0.994139451497967
44,4,0.3,0.9,0.0014362781054016,[4],0.1727462143552869,"[4, 2]",0.7689827192654165
45,5,0.1,0.0,0.0866889310916672,[2],0.7589632268160796,"[2, 2]",0.6912279314078462
46,5,0.1,0.8,0.0055696137420455,[2],0.9724687553241184,"[2, 2]",1.029231863428977
47,5,0.1,0.9,0.0733518914312837,[4],0.4631251562853064,"[4, 1]",0.7871807360347013
48,5,0.2,0.0,0.0007611522806168,[3],0.0783607733459726,"[3, 1]",1.0958170917336327
49,5,0.2,0.8,1.2761473406167865e-06,[2],0.4792384672400203,"[2, 2]",0.8199690808905709
50,5,0.2,0.9,0.0010589534056858918,[2],1.8113080483982738,"[2, 2]",0.7120873113911985
51,5,0.3,0.0,0.0017690352270800654,[4],0.4058411072064495,"[4, 2]",1.8902567026285921
52,5,0.3,0.8,0.008169705767055273,[2],0.1918535697872696,"[2, 5]",0.3721657821363825
53,5,0.3,0.9,0.013343501191924957,[5],0.2721173183627916,"[5, 2]",1.8894470314847334
54,6,0.1,0.0,0.008138665410244456,[3],0.44340075296804454,"[3, 1]",0.893513253723556
55,6,0.1,0.8,0.00813853807801867,[2],0.4163246658508274,"[2, 2]",0.9596700671454007
56,6,0.1,0.9,0.12920336906570162,[2],0.299981611418258,"[2, 1]",0.9421065354282768
57,6,0.2,0.0,0.6192357909913053,[2],0.4389983604277968,"[2, 1]",0.9689445927411514
58,6,0.2,0.8,0.014063782304788044,[4],0.7272959772794366,"[4, 1]",0.891231011673369
59,6,0.2,0.9,0.0028460324525916144,[5],0.6824776694436687,"[5, 3]",0.04859227524406908
60,6,0.3,0.0,0.054872818031002656,[3],0.6650927119740768,"[3, 4]",0.7053747898147057
61,6,0.3,0.8,0.02649844347188585,[2],0.21280377436892478,"[2, 4]",0.056781953883835785
62,6,0.3,0.9,0.6535211652637128,[2],0.8771496163775558,"[2, 1]",0.9107604068206336
63,7,0.1,0.0,0.039659783851051,[2],0.5696217383556463,"[2, 5]",0.5678595781745569
64,7,0.1,0.8,0.020279161537929077,[2],0.2442826672017808,"[2, 3]",0.6799669798054075
65,7,0.1,0.9,0.006991701333078941,[6],0.2453382745230059,"[6, 1]",0.6430447438118759
66,7,0.2,0.0,0.22646372415124438,[4],0.19501216782018196,"[4, 2]",0.40480831515938154
67,7,0.2,0.8,0.014185318072177733,[4],0.5641390567884916,"[4, 1]",0.7283357185360596
68,7,0.2,0.9,0.00878283009289508,[5],0.108239760595408,"[5, 3]",0.7749851923789534
